"episodeId","episodeTitle","episodeCategories","episodeUrl","episodeImageUrls"
87418,"CHARACTERS INFO","Slice of Life,Comedy,Fantasy","https://tapastic.com/episode/87418","https://d30womf5coomej.cloudfront.net/c/f4/32/6e/5c/009cc2deb5bb45e188fe3489f439f094.jpg;https://d30womf5coomej.cloudfront.net/c/55/d4/6c/6d/ca606514bf694e2d9a943b86b77ee4e4.jpg"
87370,"Anger Issues","Slice of Life,Comedy","https://tapastic.com/episode/87370","https://d30womf5coomej.cloudfront.net/c/b8/4b/fe/b0/3a8b428618a34daebc079ed2c399a6c3.gif;https://d30womf5coomej.cloudfront.net/c/fd/0f/5f/cc/6acb075286754dffa257e6858bee8ef1.gif;https://d30womf5coomej.cloudfront.net/c/ae/38/ec/bd/52b3e7361e59489cb6358b24935cb05b.jpg"
87350,"2013 resolution (2015 edition)","Slice of Life,Comedy","https://tapastic.com/episode/87350","https://d30womf5coomej.cloudfront.net/c/58/7a/80/c5/ef10f22053ae43c3bf126aa24ba08db5.jpg"
87308,"Chapter 1 Page 24","Action,Comedy,Fantasy","https://tapastic.com/episode/87308","https://d30womf5coomej.cloudfront.net/c/f5/0c/b0/d3/3b1ce77ac4c54de8b8487b4af47b36bf.jpg;https://d30womf5coomej.cloudfront.net/c/d0/7d/36/df/b1264b2ccd6f49a8979aafe1b1b49112.jpg"
87260,"Step Four - 3","Slice of Life,Comedy,Drama","https://tapastic.com/episode/87260",""
87217,"03","Slice of Life,Comedy","https://tapastic.com/episode/87217","https://d30womf5coomej.cloudfront.net/c/f1/f7/48/af/93ed60c70cdb4317a7de5edd487b9db5.jpg"
87195,"I challenge you.","Slice of Life,Comedy","https://tapastic.com/episode/87195","https://d30womf5coomej.cloudfront.net/c/41/4a/f1/34/8b9770120b2d4004938bd7cca2f5db17.jpg;https://d30womf5coomej.cloudfront.net/c/fb/8a/dd/8e/6a95e39e6eff450ebb18aab8039a6d43.jpg;https://d30womf5coomej.cloudfront.net/c/c9/23/f7/f0/cfed5a73f2b14578aaa4256429024702.jpg;https://d30womf5coomej.cloudfront.net/c/a2/93/0d/b6/c62131ddd2e9423c8c0acb3cafbf8d13.jpg;https://d30womf5coomej.cloudfront.net/c/b9/aa/a7/48/09f709ef34a64c41948263e7de0fa8de.jpg"
87185,"Maturing","Slice of Life,Comedy","https://tapastic.com/episode/87185","https://d30womf5coomej.cloudfront.net/c/fa/43/d4/c3/e1998141dccc433f8fe4d66c2fa1e590.jpg;https://d30womf5coomej.cloudfront.net/c/9a/0a/5d/9e/9ecf268e81034edbb7381269cb6be60e.jpg"
87179,"No, No, No….","Comedy","https://tapastic.com/episode/87179","https://d30womf5coomej.cloudfront.net/c/7d/93/f0/bf/be99a0a0f5de41b08e6d8933471ce874.jpg"
87168,"Happy new year folks!","Slice of Life,Comedy,Drama","https://tapastic.com/episode/87168","https://d30womf5coomej.cloudfront.net/c/f3/93/ed/6e/6ec8f359a67345299a04ec9347510574.jpg"
87140,"2015","Slice of Life,Comedy","https://tapastic.com/episode/87140","https://d30womf5coomej.cloudfront.net/c/68/d7/3e/0e/bbba5cbc90544710b4311eccb7015a62.jpg"
